step	steps_repetition	steps_naming	steps_comprehension	loss_repetition	loss_naming	loss_comprehension
2000	333	667	1000	0.052956531652845105	19.833738954707066	1.2475403898954391
5000	833	1666	2501	0.20416909102536737	9.260917546632173	1.2369826453912267
10000	1666	3333	5001	0.2670262397444692	4.085208914704714	1.233160558462143
20000	3333	6666	10001	0.17587940599579402	2.184014914452833	1.1893011477947235
40000	6667	13333	20000	0.11870894419285231	1.1720743345609934	1.1263192518554528
60000	10000	20000	30000	0.09030238732817408	0.4300034209377354	1.079681087511778
80000	13333	26666	40001	0.060814392219523644	0.08153938470526238	1.0502340952201719
100000	16667	33333	50000	0.03589847397184068	0.01881074709073212	1.023922923100282
120000	20000	40000	60000	0.026098442149564135	0.00908464321483039	1.0011932218968869
140000	23333	46667	70000	0.02280143851599372	0.006124078085470302	0.9823225446701049
160000	26666	53334	80000	0.020785497132651876	0.004739068398813409	0.9664434326052666
180000	30000	60000	90000	0.019889120117868184	0.0039963084338355825	0.9530534732818603
200000	33333	66667	100000	0.019851480153302792	0.0035018115791584222	0.9414246463954449
220000	36667	73333	110000	0.018275290760437914	0.003124892506262239	0.9309261883735657
240000	40000	80000	120000	0.018514348934408745	0.0028987588453171817	0.9218564500927925
260000	43333	86666	130001	0.018039326166941993	0.0027882744892906344	0.9135486369919221
280000	46667	93333	140000	0.017977636613705418	0.0024676677383338856	0.9061620965434595
300000	50000	100000	150000	0.01765680077862684	0.0023886260024031775	0.8993640388190747
320000	53334	106667	159999	0.016988935503444814	0.002188953773766165	0.8929662073072236
340000	56667	113334	169999	0.01701469566734025	0.0021800118835439823	0.8871165654659271
360000	60000	120000	180000	0.016877130132362802	0.0021673663467419732	0.8817696264774463
380000	63334	126667	189999	0.01718449805821283	0.00198979582937885	0.876818145790247
400000	66667	133333	200000	0.016903134426478915	0.0019219504789670858	0.8721596772832139
420000	70000	140000	210000	0.016422400541204755	0.001835691184654091	0.867734206444025
440000	73333	146667	220000	0.01625453256396196	0.001812969768898724	0.8635368763744831
460000	76667	153333	230000	0.016322867133272724	0.0021748854725441693	0.8596179981470108
480000	80000	160000	240000	0.016166975268158176	0.0016824422659700532	0.8558027088582516
500000	83333	166667	250000	0.016348514698823438	0.0017446928468623799	0.8524494968235493
520000	86667	173333	260000	0.016518427182514325	0.001583671202342298	0.8492830243289471
540000	90000	180000	270000	0.016284866632334347	0.0015866830825404191	0.8461306152999402
560000	93333	186667	280000	0.016057614393731295	0.001736528871060468	0.8431013728380203
580000	96667	193333	290000	0.016424736240647372	0.0014638318123473058	0.8403467447280883
600000	100000	200000	300000	0.016259464305626303	0.0017713055475452224	0.8376910485625267
620000	103333	206667	310000	0.016245164458560005	0.0016296918566661544	0.835142877703905
640000	106667	213333	320000	0.015745462729055488	0.0014929923867073162	0.8325876262784004
660000	110000	220000	330000	0.016015141335872545	0.0015053023234591837	0.8303064120411873
680000	113334	226666	340000	0.015831492687099942	0.0015473285093517935	0.8281168348371982
700000	116667	233333	350000	0.016349581209467678	0.0013354215027801598	0.8261927174508572
720000	120000	240000	360000	0.015514397116102472	0.0014283291804008448	0.8238489072322845
740000	123333	246667	370000	0.015453224749211257	0.001421847359709094	0.8218338287413121
760000	126667	253333	380000	0.015278273053924363	0.0015076142277697393	0.8199167253017425
780000	130000	260000	390000	0.016150997177574473	0.0012207639963227517	0.8182619464695453
800000	133333	266668	399999	0.01581530494668675	0.0016852610539098147	0.8164397294145308
