space	lexicon_index	word	pc1	pc2
glove	0	the	-0.7514188289642334	0.03396289050579071
glove	1	of	-0.6828425526618958	0.0568242184817791
glove	2	and	-0.7165271639823914	-0.03563196584582329
glove	3	to	-0.6803415417671204	0.10891459137201309
glove	4	in	-0.7252990007400513	-0.05294227972626686
glove	5	for	-0.6888209581375122	0.02438114583492279
glove	6	is	-0.6210055947303772	0.03078855574131012
glove	7	on	-0.678960919380188	-0.01390586793422699
glove	8	that	-0.7583764791488647	0.1070670560002327
glove	9	by	-0.586625337600708	-0.12430430948734283
glove	10	this	-0.7280457615852356	0.13616153597831726
glove	11	with	-0.6595415472984314	-0.0023344627115875483
glove	12	you	-0.5729060769081116	0.15093322098255157
glove	13	it	-0.7156296372413635	0.11584208160638809
glove	14	not	-0.713909924030304	0.16028906404972076
glove	15	or	-0.564736545085907	0.20221668481826782
glove	16	be	-0.6745716333389282	0.15037666261196136
glove	17	are	-0.6367353200912476	0.20682856440544128
glove	18	from	-0.618627667427063	-0.030422739684581757
glove	19	at	-0.5829406380653381	-0.13491758704185486
glove	20	as	-0.6953134536743164	-0.005007127765566111
glove	21	your	-0.46974578499794006	0.2051740139722824
glove	22	all	-0.7119061350822449	0.14151307940483093
glove	23	have	-0.7098708748817444	0.1333398073911667
glove	24	new	-0.6537384390830994	-0.059740617871284485
glove	25	more	-0.7108599543571472	0.23635825514793396
glove	26	an	-0.571672797203064	0.011666328646242619
glove	27	was	-0.6344571113586426	-0.17124852538108826
glove	28	we	-0.65567547082901	0.14117224514484406
glove	29	will	-0.6824377179145813	0.09606526046991348
glove	30	home	-0.5931159257888794	-0.13960304856300354
glove	31	can	-0.6103808283805847	0.26022040843963623
glove	32	us	-0.6240581274032593	0.042055893689394
glove	33	about	-0.6042259335517883	0.04893318563699722
glove	34	if	-0.6809367537498474	0.14791053533554077
glove	35	page	-0.385230153799057	-0.09235738962888718
glove	36	my	-0.4826309382915497	0.049180611968040466
glove	37	has	-0.6860091090202332	-0.050223205238580704
glove	38	search	-0.46819281578063965	0.09824234992265701
glove	39	free	-0.5370581150054932	0.07100891321897507
glove	40	but	-0.7816307544708252	0.08285059779882431
glove	41	our	-0.6007316708564758	0.21016398072242737
glove	42	one	-0.7315309047698975	-0.0073929764330387115
glove	43	other	-0.6922794580459595	0.14011409878730774
glove	44	do	-0.5669985413551331	0.1645527482032776
glove	45	no	-0.6407144069671631	0.1472034901380539
glove	46	information	-0.5459671020507812	0.147748664021492
glove	47	time	-0.7384381890296936	0.001371215214021504
glove	48	they	-0.7338775992393494	0.13365240395069122
glove	49	site	-0.5222877264022827	-0.03035215474665165
glove	50	he	-0.6908053159713745	-0.11896884441375732
glove	51	up	-0.7104886174201965	0.042052898555994034
glove	52	may	-0.6618260741233826	0.06950975209474564
glove	53	what	-0.6880327463150024	0.098054438829422
glove	54	which	-0.7529293298721313	0.09860453009605408
glove	55	their	-0.6359696984291077	0.17131544649600983
glove	56	news	-0.5317555665969849	-0.07232507318258286
glove	57	out	-0.6805666089057922	0.03344979137182236
glove	58	use	-0.5747039914131165	0.2688491642475128
glove	59	any	-0.6383278369903564	0.2752915918827057
glove	60	there	-0.6843760013580322	0.11385256797075272
glove	61	see	-0.5897995829582214	0.09328468143939972
glove	62	only	-0.7602300643920898	0.09893155097961426
glove	63	so	-0.7211615443229675	0.18695127964019775
glove	64	his	-0.5933901071548462	-0.09440699964761734
glove	65	when	-0.7249295711517334	-0.10915513336658478
glove	66	contact	-0.42688679695129395	0.032270900905132294
glove	67	here	-0.6744548678398132	0.012218152172863483
glove	68	business	-0.6167506575584412	0.04496048763394356
glove	69	who	-0.635657548904419	-0.24613942205905914
glove	70	web	-0.4521288573741913	0.11140367388725281
glove	71	also	-0.7442384362220764	-0.06926500052213669
glove	72	now	-0.7151919603347778	0.011068306863307953
glove	73	help	-0.6145976185798645	0.1143590435385704
glove	74	get	-0.6332634687423706	0.109249047935009
glove	75	pm	-0.3252258598804474	-0.07762245088815689
glove	76	view	-0.5410747528076172	0.16383258998394012
glove	77	online	-0.4466041326522827	0.10038924962282181
glove	78	c	-0.30041542649269104	-0.13059201836585999
glove	79	first	-0.7005760669708252	-0.15785369277000427
glove	80	am	-0.3954095244407654	-0.0074578034691512585
glove	81	been	-0.677366316318512	0.04077231138944626
glove	82	would	-0.7185013890266418	0.11050723493099213
glove	83	how	-0.6533104777336121	0.16544435918331146
glove	84	were	-0.6230593323707581	0.017384791746735573
glove	85	me	-0.4875846207141876	-0.009882792830467224
glove	86	s	-0.43132680654525757	-0.08455013483762741
glove	87	services	-0.540530800819397	0.031031431630253792
glove	88	some	-0.6866950392723083	0.24017123878002167
glove	89	these	-0.6517409682273865	0.3026428818702698
glove	90	click	-0.13359810411930084	0.14322790503501892
glove	91	its	-0.6388295292854309	0.18570351600646973
glove	92	like	-0.5810720324516296	0.05581885203719139
glove	93	service	-0.540484607219696	-0.00537140853703022
glove	94	x	-0.29523178935050964	-0.03651385381817818
glove	95	than	-0.6773725152015686	0.1690356433391571
glove	96	find	-0.5872746109962463	0.16092532873153687
glove	97	price	-0.5079310536384583	0.029437115415930748
glove	98	date	-0.527564525604248	0.010422691702842712
glove	99	back	-0.6529980897903442	-0.05437907576560974
glove	100	top	-0.574853777885437	-0.07086195051670074
glove	101	people	-0.6534357070922852	0.1324375569820404
glove	102	had	-0.6521348357200623	-0.12402347475290298
glove	103	list	-0.4976174533367157	-0.016152020543813705
glove	104	name	-0.46974942088127136	-0.1686071753501892
glove	105	just	-0.6974403858184814	0.047825150191783905
glove	106	over	-0.6620111465454102	0.026540357619524002
glove	107	state	-0.5659596920013428	-0.06959112733602524
glove	108	year	-0.6980628371238708	-0.06565926969051361
glove	109	day	-0.6631633043289185	-0.05984719842672348
glove	110	into	-0.5782899856567383	0.09158173203468323
glove	111	email	-0.13082896173000336	0.007559231948107481
glove	112	two	-0.6744722723960876	-0.04895597696304321
glove	113	health	-0.541631281375885	0.03917396441102028
glove	114	n	-0.19499346613883972	-0.03754809498786926
glove	115	world	-0.5894802212715149	0.0023647593334317207
glove	116	re	-0.4808753430843353	0.04681985825300217
glove	117	next	-0.7132502794265747	-0.04866447299718857
glove	118	used	-0.5547497272491455	0.14068903028964996
glove	119	go	-0.6390547752380371	0.03540199249982834
glove	120	b	-0.32436394691467285	-0.120655357837677
glove	121	work	-0.6337078213691711	0.06673895567655563
glove	122	last	-0.7520642280578613	-0.10239198058843613
glove	123	most	-0.6783198714256287	0.1615137755870819
glove	124	products	-0.45722371339797974	0.20212490856647491
glove	125	music	-0.44281962513923645	-0.08912958204746246
glove	126	buy	-0.4762294292449951	0.05772876739501953
glove	127	data	-0.46478426456451416	0.22293755412101746
glove	128	make	-0.6641817688941956	0.19707852602005005
glove	129	them	-0.6795716285705566	0.14450733363628387
glove	130	should	-0.7041894793510437	0.21618418395519257
glove	131	product	-0.4766150116920471	0.2210361361503601
glove	132	system	-0.5267348289489746	0.19234159588813782
glove	133	post	-0.5423094630241394	-0.09556537121534348
glove	134	her	-0.5167325139045715	-0.10072451829910278
glove	135	city	-0.559660017490387	-0.13571235537528992
glove	136	t	-0.34260815382003784	-0.024103863164782524
glove	137	add	-0.41046082973480225	0.20609475672245026
glove	138	policy	-0.5644922256469727	0.12276841700077057
glove	139	number	-0.619433581829071	0.10853663831949234
glove	140	such	-0.6384852528572083	0.23141318559646606
glove	141	please	-0.2549366056919098	0.05057410150766373
glove	142	available	-0.5579476952552795	0.14442893862724304
glove	143	copyright	-0.21445134282112122	0.05367544665932655
glove	144	support	-0.6034224629402161	0.1171373650431633
glove	145	message	-0.4683818221092224	0.10501054674386978
glove	146	after	-0.7153578400611877	-0.15426330268383026
glove	147	best	-0.5892008543014526	-0.060733161866664886
glove	148	software	-0.3722075819969177	0.14937761425971985
glove	149	then	-0.6528359651565552	-0.11651856452226639
glove	150	jan	-0.2409878671169281	-0.35981738567352295
glove	151	good	-0.6199780702590942	0.08500060439109802
glove	152	video	-0.4437490403652191	-0.004701860714703798
glove	153	well	-0.751675546169281	0.09246420860290527
glove	154	d	-0.30424776673316956	-0.216970294713974
glove	155	where	-0.6949149370193481	-0.06196364760398865
glove	156	info	-0.11561286449432373	0.038802772760391235
glove	157	rights	-0.4921146333217621	0.025795521214604378
glove	158	public	-0.6111533045768738	0.05220673605799675
glove	159	books	-0.4323991537094116	-0.03949958458542824
glove	160	high	-0.5503512024879456	-0.009756708517670631
glove	161	school	-0.4868578016757965	-0.2307741940021515
glove	162	through	-0.6117507219314575	0.07383263111114502
glove	163	m	-0.3172430992126465	-0.15037202835083008
glove	164	each	-0.616174578666687	0.0990748256444931
glove	165	links	-0.4141557812690735	0.12228444963693619
glove	166	she	-0.5790195465087891	-0.14509981870651245
glove	167	review	-0.4826771914958954	-0.007692387327551842
glove	168	years	-0.6900046467781067	-0.07678348571062088
glove	169	order	-0.5785694718360901	0.13712771236896515
